Nom du commerce;Adresse;Code postal;Type de commerce;Fabriqué à Paris;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
E-magination;155,avenue de versailles;75016;Artisanat d'art;non;Livraisons à domicile;je personnalise des vêtements et autres objets (mugs, tapis souris, tote bags ...) pour certaines occasions et fêtes;;;07 66 26 30 39;imagination.nlc@gmail.com;"{""coordinates"": [2.266812448506858, 48.84151134840119], ""type"": ""Point""}";48.84151134840119, 2.266812448506858
MAMAMUSHI;28 rue du Château d'eau;75010;Équipements informatiques;non;Livraisons à domicile, Retrait de commandes en magasin;Découvrez la sélection de bijoux, vêtements, homme, femme, enfant, papeterie, bien-être, vintage, accessoires, décoration et d'autres petits trésors...;;https://www.mamamushi.com;01 40 34 36 07;contact@mamamushi.com;"{""coordinates"": [2.3598820231511475, 48.87040230850147], ""type"": ""Point""}";48.87040230850147, 2.3598820231511475
Mansaya;49 rue léon Frot;75011;Autre;non;Retrait de commandes en magasin;Robe, jupe, pantalon et accessoires en Wax;;http://www.mansaya.com;07 81 32 93 21;contact@mansaya.com;"{""coordinates"": [2.386195795646598, 48.85587418717622], ""type"": ""Point""}";48.85587418717622, 2.386195795646598
Pierre Marcolini;89 rue de Seine;75006;Alimentation générale et produits de première nécessité;non;Livraisons à domicile, Retrait de commandes en magasin;Chocolatier engagé. Fèves torréfiées Maison et savoir-faire artisanal.;;http://www.marcolini.com;01 44 07 39 07;commande@marcolini.com;"{""coordinates"": [2.3371201247633917, 48.852371587586376], ""type"": ""Point""}";48.852371587586376, 2.3371201247633917
librairie le pied à terre;9 rue custine;75018;Librairie;non;Retrait de commandes en magasin;Le pied à terre est une librairie généraliste située à château rouge dans le 18ème arrondissement;;;01 44 85 20 68;contact@librairielepiedaterre.com;"{""coordinates"": [2.348793175984955, 48.88763146631538], ""type"": ""Point""}";48.88763146631538, 2.348793175984955
hOpsie;94 rue de l'ouest;75014;Artisanat d'art;non;Livraisons à domicile, Retrait de commandes en magasin;hOpsie est une marque de décorations poétiques, pour intérieurs inspirés ! Vous trouverez des illustrations brodées à la main, des pièces uniques pour décorer votre salon, chambre ou atelier !;;https://hopsie.fr/;;contact@hopsie.fr;"{""coordinates"": [2.3164415464267774, 48.83460369369763], ""type"": ""Point""}";48.83460369369763, 2.3164415464267774
les artisans;106 rue lecourbe;75015;Restaurant ou traiteur;non;Retrait de commandes en magasin;Brasserie de quartier, plats réalisés sur place avec des saveurs originales;;;06 77 26 71 80;lesartisans.mib@gmail.com;"{""coordinates"": [2.303190876647081, 48.84287271242907], ""type"": ""Point""}";48.84287271242907, 2.303190876647081
Auger;34 boulevard de Charonne;75020;Boulangerie - pâtisserie;non;Retrait de commandes en magasin;Nous sommes des artisans, nos pains sont confectionnés a partir de farine blés anciens bio, au levain naturel, fermentation longue, et cuisson sur four a bois. Notre atelier se situe rue Auger.;Sandwichs, salades...;;06 81 38 48 21;info@atelier-auger.com;"{""coordinates"": [2.3990089738179887, 48.85051676175998], ""type"": ""Point""}";48.85051676175998, 2.3990089738179887
PHO FAIT MAISON;117 rue didot;75014;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;On est petit restaurant vietnamien, on a vente le soup Pho , le Bo Bun et les nems faits maison ...;;https://www.phofaitmaison.fr;06 65 02 22 89;ducminh117didot@gmail.com;"{""coordinates"": [2.3151238706967767, 48.82766326057003], ""type"": ""Point""}";48.82766326057003, 2.3151238706967767
Infinity by Sammy Voigt;15 Rue Debelleyme;75003;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;"Nous faisons le design des écharpes, foulards et pochettes de costume luxe avec des matières naturelles. Tous nos produits sont ""made in France et Italie""";;https://infinity.boutique/;06 27 56 77 69;sv@infinity.boutique;"{""coordinates"": [2.363173832507867, 48.86168620968987], ""type"": ""Point""}";48.86168620968987, 2.363173832507867
Au Bouquet Wagram;145 Avenue de Wagram;75017;Restaurant ou traiteur;non;Retrait de commandes en magasin;Plats desserts et boissons disponible en vente à emporter !;;https://www.facebook.com/bouquetwagram/;01 42 27 28 07;cm@mohca-communication.com;"{""coordinates"": [2.303004005126312, 48.88505902529603], ""type"": ""Point""}";48.88505902529603, 2.303004005126312
GIORGIO & MARIO;13 rue des fontaines du temple;75003;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;"Atelier de prêt à porter  Cuir et Peau en plein centre de Paris
Fabricant et grossiste blousons, vestes, doudounes, manteaux, jupes, leggins, pantalons...";;http://www.giorgio-mario.com;01 42 72 54 55;info@giorgio.fr;"{""coordinates"": [2.358825648530228, 48.8656700953429], ""type"": ""Point""}";48.8656700953429, 2.358825648530228
THEOFIL PARIS;250 rue de Rivoli;75001;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;"DSQUARED2, MERCER AMSTERDAM, CORTIGIANI, LES PLUS BELLES CHEMISES DU MONDE ""FRAY""";;<Nul>;;vendome@theo-fil.com;"{""coordinates"": [2.3246422058641896, 48.866311769766654], ""type"": ""Point""}";48.866311769766654, 2.3246422058641896
Le RONDPOINT;32 rue Vergniaud;75013;Restaurant ou traiteur;non;Retrait de commandes en magasin;le couscous du jeudi est particulièrement apprécié par nos clients à des prix plus que raisonnables selon la garniture!;;<Nul>;06 32 16 01 73;seridj@me.com;"{""coordinates"": [2.3455442769287047, 48.82807266289067], ""type"": ""Point""}";48.82807266289067, 2.3455442769287047
Souffle Continu;20/22, Rue Gerbier;75011;Disquaire;non;Retrait de commandes en magasin;"Depuis bientôt douze années maintenant, nous essayons de rendre au métier de disquaire indépendant ce qu’il doit toujours rester ; un métier de passionnés, à l’écoute et au service des auditeurs.";;http://www.soufflecontinu.com;01 40 24 17 21;contact@soufflecontinu.com;"{""coordinates"": [2.3861069839272755, 48.85898455718358], ""type"": ""Point""}";48.85898455718358, 2.3861069839272755
Festa e basstz;16 esplanade Nathalie Sarraute;75018;Épicerie fine;non;Retrait de commandes en magasin;Que des produits corse à emporter bio en direct bière vin charcuterie ect;;;06 10 87 15 20;festaebasta@gmail.com;"{""coordinates"": [2.3625890892535497, 48.888392546702214], ""type"": ""Point""}";48.888392546702214, 2.3625890892535497
L’atelier de la viande;55 RUE CLAUDE DECAEN;75012;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile, Retrait de commandes en magasin;;;;;latelierdelaviande@gmail.com;"{""coordinates"": [2.3985159769710513, 48.836581448211], ""type"": ""Point""}";48.836581448211, 2.3985159769710513
LE CANOT'VENDEEN;31 rue du château d'eau;75010;Poissonnerie;non;Retrait de commandes en magasin;"Poisson en direct de Vendée 
Peche responsable";;;06 47 55 84 18;lecanotvendeen@outlook.com;"{""coordinates"": [2.35832918516036, 48.87079994043792], ""type"": ""Point""}";48.87079994043792, 2.35832918516036
Restaurant ou traiteuritalien mercato;85 bis bld Magenta;75010;Restaurant ou traiteur;non;Livraisons à domicile;Italien;;;06 69 77 16 80;;"{""coordinates"": [2.3549454851030545, 48.8771101812898], ""type"": ""Point""}";48.8771101812898, 2.3549454851030545
Nysa;95 RUE SAINT-ANTOINE;75004;Caviste - Brasserie;non;Livraisons à domicile;Caviste;;;;nysa@nysa.fr;"{""coordinates"": [2.3620389886317517, 48.85475097498579], ""type"": ""Point""}";48.85475097498579, 2.3620389886317517
La Recolte Beaubourg;43 rue Beaubourg;75003;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;https://marecolte.la-recolte.net/beaubourg;;;"{""coordinates"": [2.353979048016423, 48.86243966757874], ""type"": ""Point""}";48.86243966757874, 2.353979048016423
L’ardoise a fromage;27 boulevard de Reuilly;75012;Fromagerie;non;Livraisons à domicile;Charcuterie également;;http://lardoiseafromage.com/;06 88 01 82 38;;"{""coordinates"": [2.3921080321932537, 48.83942631540177], ""type"": ""Point""}";48.83942631540177, 2.3921080321932537
Saint Georges France traiteur libanais;69 rue Corvisart;75013;Restaurant ou traiteur;non;Livraisons à domicile;Traiteur Libanaise;;;06 06 74 64 09;skairek2330@yahoo.fr;"{""coordinates"": [2.3494415030345204, 48.829943064679], ""type"": ""Point""}";48.829943064679, 2.3494415030345204
Caves Bardou;169 boulevard Pereire;75017;Caviste - Brasserie;non;Livraisons à domicile;Paiement à la commande par vente à distance.;;;01 40 34 31 81;contact@cavesbardou.com;"{""coordinates"": [2.2936511964506985, 48.88276371086761], ""type"": ""Point""}";48.88276371086761, 2.2936511964506985
BACK IN BLACK;25 rue amelot;75011;Épicerie fine;non;Livraisons à domicile;Torréfacteur depuis 2010 - Café en grains et café moulu fraîchement torréfié;;https://kbcoffeeroasters.com/;;coffee@kbcafeshop.com;"{""coordinates"": [2.3690219564342416, 48.856218872473725], ""type"": ""Point""}";48.856218872473725, 2.3690219564342416
Croustillant;56 Avenue Jean Jaurès;75019;Boulangerie - pâtisserie;non;Livraisons à domicile;;;http://www.croustillant.com;06 86 78 80 55;hello@croustillant.com;"{""coordinates"": [2.3756053107407458, 48.8840363266939], ""type"": ""Point""}";48.8840363266939, 2.3756053107407458
Bijou;10 rue Dancourt;75018;Restaurant ou traiteur;non;Livraisons à domicile;Pizza napolitaine cuite au feu de bois;;https://www.ubereats.com/fr/paris/food-delivery/bijou/h4um2WgzSEGwcdCJB4p9ow;01 42 57 47 29;communication@lesas-paris.fr;"{""coordinates"": [2.3418816006156296, 48.88311150088616], ""type"": ""Point""}";48.88311150088616, 2.3418816006156296
XinLIU;254 rue du Faubourg saint antoine;75012;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;;07 61 63 54 78;;"{""coordinates"": [2.390987921341133, 48.84897440008952], ""type"": ""Point""}";48.84897440008952, 2.390987921341133
MONOPRIX;125 RUE DES DAMES;75017;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;https://www.monoprix.fr/monoprix-dames-paris-75017-s;01 43 87 12 60;;"{""coordinates"": [2.316448055606452, 48.88238671752831], ""type"": ""Point""}";48.88238671752831, 2.316448055606452
Maillard;Place de Passy;75016;Poissonnerie;non;Livraisons à domicile;;;;01 45 25 34 24;;"{""coordinates"": [2.27686263980907, 48.85778183575436], ""type"": ""Point""}";48.85778183575436, 2.27686263980907
LAVINIA;3 boulevard de la Madeleine;75001;Caviste - Brasserie;non;Livraisons à domicile;;;https://www.lavinia.fr;01 42 97 91 35;Serviceclient@lavinia.com;"{""coordinates"": [2.3274868904231156, 48.86965521875687], ""type"": ""Point""}";48.86965521875687, 2.3274868904231156
Terroirs d'Avenir;7 rue du Nil;75002;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;Épicerie - Primeur - Crèmerie - Boucherie - Boulangerie;;http://www.terroirs-avenir.fr/;01 85 09 84 30;service.client@terroirs-avenir.fr;"{""coordinates"": [2.347812972884357, 48.86770489208152], ""type"": ""Point""}";48.86770489208152, 2.347812972884357
Halles Saint-Antoine;23 rue Saint-Antoine;75004;Primeur;non;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/halles-saint-antoine;;walid281079@yahoo.fr;"{""coordinates"": [2.3654593786857716, 48.85360735775168], ""type"": ""Point""}";48.85360735775168, 2.3654593786857716
Poissonnerie du Petit Bateau;85B Boulevard de Magenta;75010;Poissonnerie;non;Livraisons à domicile;Plateaux de fruits de mer;;https://www.epicery.com/epiceries/poissonnerie-petit-bateau;;lounes1979@live.fr,kaleleloulou1979@gmail.com;"{""coordinates"": [2.3556278840395612, 48.876416355076806], ""type"": ""Point""}";48.876416355076806, 2.3556278840395612
Boucherie Moderne;249 Boulevard Voltaire;75011;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Brunch;;https://www.epicery.com/epiceries/boucherie-moderne;;contact@boucherie-gillotjohn.fr;"{""coordinates"": [2.39257590057077, 48.850589536510384], ""type"": ""Point""}";48.850589536510384, 2.39257590057077
ENJOY;264 Boulevard Voltaire;75011;Boulangerie - pâtisserie;non;Livraisons à domicile;"Formules midi, pâtisseries, plats du jour, Chabbat complets
Commandes 24h avant de préférence
Cacher, sous le contrôle du Beth Din de Paris";;;07 66 80 60 00;contact.enjoytraiteur@gmail.com;"{""coordinates"": [2.392835163322321, 48.84998577971242], ""type"": ""Point""}";48.84998577971242, 2.392835163322321
Cul de Cochon Montorgueil;98 Rue Montorgueil;75002;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/cul-de-cochon-montorgueil;;contact@culdecochon.com,ac@culdecochon.com;"{""coordinates"": [2.3472148269791715, 48.86614781073989], ""type"": ""Point""}";48.86614781073989, 2.3472148269791715
Maison Leautey;83  Avenue de Saint-Ouen;75017;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/leautey-charcuterie-fromagerie;;leautey@aol.com;"{""coordinates"": [2.327356729482936, 48.89330135990412], ""type"": ""Point""}";48.89330135990412, 2.327356729482936
Tocqueville Primeur;76 rue de Tocqueville;75017;Primeur;non;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/tocqueville-primeur;;mamar_84@hotmail.fr;"{""coordinates"": [2.31036042683035, 48.885520865493746], ""type"": ""Point""}";48.885520865493746, 2.31036042683035
Glaces Scaramouche;22 rue la Vieuville;75018;Restaurant ou traiteur;non;Livraisons à domicile;Glaces;;https://www.epicery.com/epiceries/scaramouche;;thea@glaces-scaramouche.com;"{""coordinates"": [2.3404513606487507, 48.884693681084194], ""type"": ""Point""}";48.884693681084194, 2.3404513606487507
Karamel;67 Rue Saint-Dominique;75007;Boulangerie - pâtisserie;non;Livraisons à domicile;Chocolat;;https://www.epicery.com/epiceries/karamel;;eh@karamelparis.com;"{""coordinates"": [2.310703820492186, 48.85988068723148], ""type"": ""Point""}";48.85988068723148, 2.310703820492186
Les Quatre Saisons;49 Rue Jean-Baptiste Pigalle;75009;Primeur;non;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/les-quatre-saisons;;hamrouniezeddine@outlook.fr;"{""coordinates"": [2.334795635769921, 48.880333784205106], ""type"": ""Point""}";48.880333784205106, 2.334795635769921
Au Verger de Gambetta;137 Avenue Gambetta;75020;Primeur;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/au-verger-de-gambetta;;sadok75@hotmail.fr;"{""coordinates"": [2.401990609880597, 48.86915166061172], ""type"": ""Point""}";48.86915166061172, 2.401990609880597
Gâtines Primeurs;23 rue des gâtines;75020;Primeur;non;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/gatines-primeurs;;nbslama@hotmail.fr;"{""coordinates"": [2.398656031226704, 48.866014159016935], ""type"": ""Point""}";48.866014159016935, 2.398656031226704
Jardin d'Alésia;2 villa d'Orléans;75014;Primeur;non;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/halles-de-paris;;tophalles@hotmail.fr;"{""coordinates"": [2.3280662407836297, 48.828678771299835], ""type"": ""Point""}";48.828678771299835, 2.3280662407836297
Lecourbe Marée MOF;93 Rue Lecourbe;75015;Poissonnerie;non;Livraisons à domicile;MOF;;https://www.epicery.com/epiceries/lecourbe-maree-mof;;lecourbemaree@orange.fr;"{""coordinates"": [2.3039658305239157, 48.84288175756302], ""type"": ""Point""}";48.84288175756302, 2.3039658305239157
Bouteille;8 rue Brochant;75017;Caviste - Brasserie;non;Livraisons à domicile;Vins;;https://www.epicery.com/epiceries/bouteille;;christelle@bouteille.paris;"{""coordinates"": [2.31727665903349, 48.88826271532031], ""type"": ""Point""}";48.88826271532031, 2.31727665903349
Biocoop le Retour à la Terre Les Champs;89 rue la Boétie;75008;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;Alimentation bio, traiteur, fromagerie, boulangerie, viandes, fruits et légumes frais, espace beauté - santé, alimentation animale etc.;;https://www.leretouralaterre.fr/;01 84 86 09 95;communication@leretouralaterre.fr;"{""coordinates"": [2.3082892057505213, 48.87171019682873], ""type"": ""Point""}";48.87171019682873, 2.3082892057505213
Nous Anti-Gaspi;64 rue du pré saint-gervais;75019;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;https://www.nousantigaspi.com/nous-la-boutique-en-ligne-2/;;ecommerce-paris@nousantigaspi.com;"{""coordinates"": [2.3977470063520685, 48.878729177459654], ""type"": ""Point""}";48.878729177459654, 2.3977470063520685
Primeur Indé Bio;61 Rue de la Chine;75020;Primeur;non;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/primeur-inde-bio;;indebio@yahoo.com;"{""coordinates"": [2.395842086782603, 48.86993119002999], ""type"": ""Point""}";48.86993119002999, 2.395842086782603
TOP HALLES;165 RUE DE GRENELLE;75007;Primeur;non;Livraisons à domicile;LIVRAISON DES COMMANDES PASSEES PAR TEL OU MAIL DU MARDI AU SAMEDI DE 11H A 15H AVEC UN MIN DE COMMANDE DE 50€ OU VIA LE SITE EPICERY;;https://www.epicery.com/epiceries/marche-bio-de-grenelle;;ATOPHALLES@OUTLOOK.FR;"{""coordinates"": [2.305805872276124, 48.857565904060635], ""type"": ""Point""}";48.857565904060635, 2.305805872276124
Glaces Glazed St-Hilaire;19 rue Geoffroy St-Hilaire;75005;Restaurant ou traiteur;non;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/copie-de-glaces-glazed-429ca058-10d2-4464-9bfb-846dba488f1c;;charlotte@glaces-glazed.com;"{""coordinates"": [2.3562083513164134, 48.8398656126804], ""type"": ""Point""}";48.8398656126804, 2.3562083513164134
Alfredo Positano;7 bis rue de boulainvilliers;75016;Restaurant ou traiteur;non;Livraisons à domicile;Livraisons du mardi au samedi;;;06 22 74 53 60;alfredopositano.paris@gmail.com;"{""coordinates"": [2.27712622107123, 48.85191457453801], ""type"": ""Point""}";48.85191457453801, 2.27712622107123
Maison Aleph;20 rue de la verrerie;75004;Autre;non;Livraisons à domicile;Sur le site web de Maison Aleph vous pouvez commander des pâtisseries, du salé et des produits d'épicerie. Livraison 7j/7 à Paris gratuite et sans minimum d'achat. Créneau de livraison 13h à 17h.;;https://www.maisonaleph.com;09 83 03 42 02;bonjour@maisonaleph.com;"{""coordinates"": [2.354788886872331, 48.8573563891874], ""type"": ""Point""}";48.8573563891874, 2.354788886872331
Boucherie Royale;4 rue du Dr Paquelin;75020;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/boucherie-royale;;kheira.ech@hotmail.fr;"{""coordinates"": [2.4022746223852662, 48.86890045651647], ""type"": ""Point""}";48.86890045651647, 2.4022746223852662
Les 2 au coin;7 Rue Notre Dame De Bonne Nouvelle;75002;Restaurant ou traiteur;non;Livraisons à domicile;Café Restaurant et boutique de plantes intérieurs, extérieurs, et aromatiques;;http://www.les2aucoin.fr;;contact@les2aucoin.fr;"{""coordinates"": [2.349641246660722, 48.86966775891829], ""type"": ""Point""}";48.86966775891829, 2.349641246660722
Da Vito;5 rue Sedaine;75011;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;;;https://davitopizzeria.fr/;09 50 73 12 99;davide.moonshiner@gmail.com;"{""coordinates"": [2.3711967469366404, 48.855647641534254], ""type"": ""Point""}";48.855647641534254, 2.3711967469366404
LIVRES EN SEINE / BOUQUINISTE;Boites n° 53 / Quai des Grands Augustins, Paris 6 (en face du n° 55 Quai des grands Augustins / Angle Pont Neu));75006;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;Bouquiniste à l'angle du pont Neuf, propose de nombreux livres d'occasion en bon état, BD, Poches, livres d'arts, Littérature, Histoire, Mode, ... Renseignement par téléphone : 0616012400;;;06 16 01 24 00;livresenseine@gmail.com;"{""coordinates"": [2.3413491704574936, 48.85528681626968], ""type"": ""Point""}";48.85528681626968, 2.3413491704574936
Canal Thai;36 quai de Jemmapes;75010;Restaurant ou traiteur;non;Retrait de commandes en magasin;;;;;canalthai10@gmail.com;"{""coordinates"": [2.367519457110224, 48.869107788094304], ""type"": ""Point""}";48.869107788094304, 2.367519457110224
Hugo Planet;8 rue monge;75005;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;"Hugo Planet est un magasin de chaussures confort pour femme.
Multi-marques vous trouverez un large choix  de chaussures confortables et des marques telles que Rieker, Hirica, Skechers, Longo, Folies..";;http://www.hugoplanet-chaussures.com/;06 30 42 50 82;vincentplanet05@yahoo.fr;"{""coordinates"": [2.3494390562412204, 48.849209073938106], ""type"": ""Point""}";48.849209073938106, 2.3494390562412204
Rétine et Pupille Opticiens;5 avenue de Villiers;75017;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Opticien indépendant, vente de montures, lunettes de soleil, verres correcteurs, lentilles de contact.;;http://www.rp-opticiens.com;01 47 63 55 05;Contact@rp-opticiens.com;"{""coordinates"": [2.3145857425609164, 48.8815815256942], ""type"": ""Point""}";48.8815815256942, 2.3145857425609164
Fleurs D’Italie;Place d’Italie 203 boulevard Vincent Auriol;75013;Fleuriste;non;Livraisons à domicile, Retrait de commandes en magasin;"Dites le avec des fleurs
Compositions florales, plantes, sapins de Noël, deuil...";;http://www.fleursditalie.com;01 45 83 87 14;contact@hotmail.com;"{""coordinates"": [2.3577438814619116, 48.83112749375497], ""type"": ""Point""}";48.83112749375497, 2.3577438814619116
Librairie l'Eternel Retour;77 rue Lamarck;75018;Librairie;non;Retrait de commandes en magasin;Librairie indépendante et généraliste de quartier, tous rayons, toutes commandes, conseils, papier cadeau.;;https://www.facebook.com/librairieleternelretour;01 42 52 05 01;librairieleternelretour@gmail.com;"{""coordinates"": [2.3364551594942222, 48.89019501324568], ""type"": ""Point""}";48.89019501324568, 2.3364551594942222
La librairie des batignolles;48 rue des moines;75017;Librairie;non;Retrait de commandes en magasin;Notre librairie vous propose un large choix dans tous les domaines. Un petite librairie de quartier.;;http://parislibrairie.fr;01 42 29 88 10;Librairie.batignolles@yahoo.ff;"{""coordinates"": [2.3203825093643236, 48.88975186330625], ""type"": ""Point""}";48.88975186330625, 2.3203825093643236
BRASSERIE DE LA GOUTTE D'OR;28 rue de la Goutte d'Or;75018;Alimentation générale et produits de première nécessité;non;Livraisons à domicile, Retrait de commandes en magasin;Créée en 2012, la brasserie de la goutte d’or fait figure de pionnière du mouvement craft à Paris. Localisés au coeur du quartier cosmopolite de la goutte d’or, nos influences viennent de ce quartier.;;http://www.brasserielagouttedor.com;06 24 37 05 23;shop@brasserielagouttedor.com;"{""coordinates"": [2.3524036648438877, 48.885086781112754], ""type"": ""Point""}";48.885086781112754, 2.3524036648438877
Les3d;20 rue de la terrasse;75017;Autre;non;Retrait de commandes en magasin;;;;01 47 63 71 76;les3dterrasse@gmail.com;"{""coordinates"": [2.3145618619857133, 48.882441308870085], ""type"": ""Point""}";48.882441308870085, 2.3145618619857133
Nodaïwa;272 rue Saint-Honoré;75001;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Restaurant traditionnel japonais - spécialité d'anguille grillée;;http://www.nodaiwa.com;01 42 86 03 42;info@nodaiwa.com;"{""coordinates"": [2.3332386936917926, 48.86437877777493], ""type"": ""Point""}";48.86437877777493, 2.3332386936917926
Papy aux fourneaux;70 rue de l’ouest;75014;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Papy reste aux fourneaux !
On a troqué la cocotte contre une petite boîte mais on a gardé l’essentiel : des producteurs en circuits courts et des recettes maison pleine d’amour";;http://www.papyauxfourneaux.fr;01 45 49 06 12;Contact@artichef.fr;"{""coordinates"": [2.3180496576218577, 48.83550536120495], ""type"": ""Point""}";48.83550536120495, 2.3180496576218577
Librairie du Centre culturel suisse;32 rue des francs bourgeois;75003;Librairie;non;Retrait de commandes en magasin;La librairie du CCS propose une riche sélection d'ouvrages d'artistes et/ou d'éditions suisses. L'accent est mis sur l'art contemporain, le graphisme, l'architecture, la photographie, la littérature.;;https://ccsparis.com/librairie;;ebrom@ccsparis.com;"{""coordinates"": [2.3596992175516616, 48.85827050767499], ""type"": ""Point""}";48.85827050767499, 2.3596992175516616
BRICOLAGE 119;119 AVE DE CLICHY,;75017;Bricolage;non;Livraisons à domicile, Retrait de commandes en magasin;;;;01 46 27 22 39;brico119@hotmail.fr;"{""coordinates"": [2.321136061557654, 48.889893683661604], ""type"": ""Point""}";48.889893683661604, 2.321136061557654
MAN'OUCHÉ;62 RUE RAMBUTEAU;75003;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Institution de la cuisine libanaise, Man’Ouché vous propose des sandwichs chauds, des mézzés en tout genre, et surtout les manouchés: galettes faites minute et cuites sur le four traditionnel ""Saj""";;https://www.instagram.com/manouche.paris/;01 77 32 05 84;contact.manouche@gmail.com;"{""coordinates"": [2.3511360526931426, 48.86184213180096], ""type"": ""Point""}";48.86184213180096, 2.3511360526931426
Institut rêve bleu;48 rue du faubourg poissonnière;75010;Autre;non;Retrait de commandes en magasin;"Situé au centre de Paris proche de ""Grand REX"",  nous proposons des services de soins et les conseils ventes de produits cosmétiques biologiques : Dr. Hauschka, Manucurist Green, Mille Oreillers...";;https://www.institutrevebleu.fr;01 71 24 24 25;institutrevebleu@live.fr;"{""coordinates"": [2.3480644452898938, 48.87434313472059], ""type"": ""Point""}";48.87434313472059, 2.3480644452898938
Librairie Le Cent Huit;4 impasse Joinville;75019;Librairie;non;Retrait de commandes en magasin;"Responsable : TANDJAOUI Rosa
Lundi - samedi : 11h-19h";;http://www.lecenthuit.fr;01 40 37 46 46;librairiedesorgues@orange.fr;"{""coordinates"": [2.378266506397169, 48.89105896566967], ""type"": ""Point""}";48.89105896566967, 2.378266506397169
La Libreria franco-italienne;89 rue du Faubourg Poissonnière;75009;Librairie;non;Retrait de commandes en magasin;Nous proposons des livres en français et en italien;;http://www.libreria.fr;01 40 22 06 94;lalibreria.paris@gmail.com;"{""coordinates"": [2.348633431393826, 48.87677057879292], ""type"": ""Point""}";48.87677057879292, 2.348633431393826
Boucherie Bourdin;129 rue Caulaincourt;75018;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Installé à Montmartre depuis 2005 (dans Paris depuis 1992), la Boucherie Bourdin et son équipe vous proposent leurs viandes de qualité issues des meilleurs élevages Français sélectionnées et affinées;;https://www.boucheriebourdin.fr;01 46 06 17 90;philippe@boucheriebourdin.fr;"{""coordinates"": [2.342426392614505, 48.8898715762598], ""type"": ""Point""}";48.8898715762598, 2.342426392614505
Restaurant BAAGAA;54 rue de Lonchamp;75016;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Restaurant de Burgers au bœuf WAGYU fait maison avec des produits frais de qualité.
Une carte attractive pour les amoureux de la street food.
Plat végétarien, menu enfant et formule à petits prix";Street Food;https://www.baagaa-burger.com;01 85 09 13 30;longchamp@baagaa-buger.com;"{""coordinates"": [2.287405647168367, 48.865084027060895], ""type"": ""Point""}";48.865084027060895, 2.287405647168367
BEE’SHOES;127 rue la fayette;75010;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Vente de chaussures femme , homme, enfants ( tendances du moment, sport);Commerce de détail de chaussures;https://www.beeshoes.fr;01 42 81 50 58;Beeshoes@orange.fr;"{""coordinates"": [2.3536250207208274, 48.87857325365722], ""type"": ""Point""}";48.87857325365722, 2.3536250207208274
Le Colibri & l'Envol - Paris 15;50 rue du Théâtre;75015;Restaurant ou traiteur;non;Livraisons à domicile;Transmettre notre passion la restauration ! L'apprentissage et le travail sont de formidables moyens de réadaptation et d’épanouissement, pour l'intégration de personnes en situation de handicap !;;https://lecolibri-paris-commande.fr;06 88 43 22 17;aratel@oeuvre-falret.asso.fr;"{""coordinates"": [2.289055567760686, 48.84845515096357], ""type"": ""Point""}";48.84845515096357, 2.289055567760686
